Word,Definition,Category,CreatedDate,LastModified
Variable,Wadah penyimpanan nilai yang dapat berubah dalam program.,Pemrograman,2026-01-17,2026-01-17
Bandwidth,Kapasitas maksimum transfer data dalam jaringan.,Jaringan,2026-01-17,2026-01-17
Recursion,Fungsi yang memanggil dirinya sendiri.,Algoritma,2026-01-17,2026-01-17
Foreign Key,Kunci tamu untuk menghubungkan dua tabel database.,Database,2026-01-17,2026-01-17
SSD,Media penyimpanan flash memory; lebih cepat dari HDD.,Hardware,2026-01-17,2026-01-17
Algorithm,Langkah-langkah logis untuk menyelesaikan masalah.,Algoritma,2026-01-17,2026-01-17
Router,Perangkat yang menghubungkan beberapa jaringan.,Jaringan,2026-01-17,2026-01-17
Array,Struktur data yang menyimpan elemen sejenis.,Pemrograman,2026-01-17,2026-01-17
SQL,Bahasa query untuk mengelola database relasional.,Database,2026-01-17,2026-01-17
CPU,Central Processing Unit; otak komputer.,Hardware,2026-01-17,2026-01-17
waktu,tempat,Pemrograman,
